RESORT,ORDER_BY,NEXUS_ROOM_TYPE
89139,2,"K,WLS"
89091,3,"T,WKV"
89091,4,"DT,WKV"
05432,7,"Q,LUQ"
05432,13,"QQ,BAM"
78018,1,"D,QDV"
48159,4,"SK,WHM"
53012,6,"WQT,BAQ"
93225,1,"D,PBE"
36145,2,"K,BHN"
34169,1,"K,LOE"
36145,3,"K,NTI"
93654,2,"Q,AJS"
98091,2,"Q,ZPS"
98091,5,"QT,ZPV"
95156,1,"T,BJJ"
11224,4,"WQQ,BAQ"
33106,5,"QQ,KYT"
18111,9,"WK,CQC"
99033,7,"K,ZLU"
78030,5,"SK,JJR"
98068,4,"KT,FBD"
18091,2,"QQ,NIH"
18091,5,"QQ,SHH"
25064,10,"SK,VSG"
25064,1,"K,ULE"
25064,11,"SK,JZT"
78604,12,"Q,YAJ"
05426,6,"SKQ,ZIN"
13037,4,"Q,BAM"
10222,2,"QQ,NIH"
19120,2,"K,EQS"
10280,2,"K,EAE"
10280,5,"QQ,IZR"
95376,4,"D,IAM"
98217,1,"D,BAS"
03161,5,"K,RSY"
70257,6,"DD,WJZ"
03161,7,"WQQ,BAM"
27075,6,"QQ,BAM"
83971,1,"T,SNN"
83971,2,"D,SNN"
99033,2,"K,UQW"
99033,4,"TT,EMR"
93390,4,"K,SNN"
76963,1,"TT,NBM"
93390,5,"DT,SNN"
21058,5,"SK,EZT"
44634,8,"SQQ,RLF"
25064,8,"K,ULD"
05669,2,"QQ,DMD"
39114,4,"SK,WBL"
05719,3,"QQ,IJU"
66001,16,"K,KXS"
05669,1,"K,DMD"
05669,3,"SK,DMD"
93013,3,"DT,GNT"
25064,2,"QQ,ULE"
25064,9,"QQ,ULD"
61078,1,"QQ,YJB"
93013,4,"SQ,SMD"
39130,3,"K,FLD"
75301,2,"Q,PYF"
15069,6,"K,MZT"
41100,3,"K,QZM"
44716,1,"QQ,RSY"
45081,6,"QQ,PTN"
94213,4,"D,QCX"
51006,1,"K,HRF"
48133,9,"K,CXQ"
48133,4,"SQ,GBF"
48133,13,"K,VHI"
22031,3,"QQ,GNC"
88189,5,"D,GRO"
78537,3,"D,MMT"
68028,1,"QQ,GED"
14164,4,"DD,EPQ"
61077,1,"QQ,EUJ"
93782,6,"SQ,MYR"
88223,7,"SK,KLS"
05382,6,"QQ,XYE"
05735,7,"WK,CQC"
93782,5,"SQ,MYQ"
44714,7,"WQQ,PAD"
23062,10,"QQ,BAQ"
92922,3,"Q,JKQ"
17126,15,"Q,AOR"
88153,1,"T,SNN"
93768,1,"Q,YMF"
63012,1,"QQ,HBO"
63012,2,"K,HBO"
41102,2,"DD,WQQ"
68031,7,"K,QBP"
70104,2,"DD,NSM"
70104,1,"K,NSM"
98150,4,"TT,CSX"
26153,8,"DD,MVJ"
95376,1,"Q,ICQ"
95376,3,"TT,FIC"
67026,4,"K,WUB"
39069,11,"VA,IVW"
39069,19,"VA,IBG"
39069,18,"SK,WZV"
99702,4,"TT,EFW"
61077,2,"QQ,XNB"
99702,3,"Q,EFW"
70154,5,"DD,XNY"
38105,7,"K,TWQ"
96097,2,"Q,JCP"
96097,3,"TT,JCP"
96097,4,"D,JGJ"
61077,3,"SQ,XNR"
68032,2,"QQ,QBN"
05243,12,"S23,HDU"
61077,5,"S23,XOI"
98182,2,"Q,OIB"
23093,2,"K,GNC"
26153,9,"K,MVJ"
26153,10,"Q,MVJ"
44599,2,"QQ,NIH"
26153,11,"SQQ,CHC"
79060,7,"K,CMA"
93712,3,"Q,OCD"
23093,12,"WQQ,BAQ"
93712,4,"TT,OCD"
05691,4,"K,ZLE"
14195,2,"K,BBM"
45082,6,"WQQ,BJP"
67026,1,"Q,WUB"
68032,7,"SQQ,ZNG"
44661,8,"K,KZT"
93854,4,"T,LLW"
97419,4,"SK,WOL"
90503,6,"SKK,BCE"
44598,2,"K,RXE"
47092,5,"K,SQH"
98134,1,"K,QRT"
98134,6,"SKD,EVQ"
83646,4,"D,NUV"
83646,6,"T,NUV"
83646,8,"D,NUP"
83646,10,"DTT,FYN"
98315,3,"TT,CLA"
98315,6,"QTT,YAY"
44717,3,"SK,EME"
27073,3,"K,CDT"
91209,9,"SK,BBK"
90792,7,"QTT,WXT"
44659,1,"K,IJU"
44659,4,"QQ,IJU"
03099,2,"QQ,HCT"
03099,5,"QQ,HCV"
03099,3,"QQ,HDF"
98365,6,"KQ,JUX"
29071,9,"K,FEQ"
83802,6,"DTT,SNN"
47109,3,"K,JIC"
10206,6,"SK,OAR"
47109,1,"QQ,NIH"
77119,2,"K,BTJ"
05685,3,"SK,ADK"
66087,4,"DD,PCF"
34161,2,"QQ,SFZ"
36158,5,"SK,NHB"
34161,3,"K,SGI"
34161,1,"K,SFZ"
48153,2,"QQ,SGR"
48153,1,"K,SGR"
48153,3,"K,SHB"
03099,13,"Q,VAK"
77586,2,"TT,BEC"
44659,2,"K,FWL"
44659,3,"SK,IJU"
83723,7,"DT,FYN"
44696,2,"QQ,IJU"
44696,8,"QQ,BJP"
44696,11,"SK,GUJ"
77586,3,"Q,BEC"
50115,4,"SQ,BOD"
83802,4,"D,NUV"
83802,7,"DT,SNN"
83802,8,"DT,NUV"
47109,4,"K,JIE"
97454,6,"Q,JKI"
47109,5,"K,JIG"
23093,13,"WS2,BAQ"
05421,5,"SQ,IMJ"
67012,5,"SQ,ENS"
62067,5,"K,EJR"
62067,6,"SQQ,EJQ"
44641,4,"K,BAM"
10397,5,"K,BJP"
44527,6,"SK,OET"
44527,7,"SKQ,OEU"
47143,4,"SK,IGY"
95502,1,"Q,BJJ"
99036,3,"Q,BRD"
17126,1,"QQ,NIH"
98213,5,"KT,MAR"
14105,1,"K,GMH"
14105,3,"QQ,GMH"
50141,1,"QQ,QSG"
44549,6,"SK,TUJ"
44549,5,"QQ,CIF"
44669,5,"SK,TBD"
05739,5,"WQ,BAM"
10150,2,"K,NIC"
10150,5,"DD,CPP"
44204,6,"QQ,HSA"
44204,2,"QQ,HNA"
96062,2,"Q,ZCF"
97299,1,"Q,WRF"
97299,2,"QT,WRF"
99103,6,"S22,ZBX"
99103,7,"SK,ZBQ"
94091,5,"D,ZTI"
14132,2,"QQ,WEY"
70191,2,"DD,USC"
50146,4,"SK,ZGS"
98365,2,"Q,STQ"
78030,2,"Q,JGI"
10392,7,"SK,IXT"
10392,6,"SK,RXR"
46005,4,"SQQ,PKN"
47132,3,"K,VAG"
50056,9,"QQ,BAM"
50146,9,"WS2,JNV"
84226,2,"D,WNR"
70191,1,"K,USC"
70191,3,"SK,USF"
50141,4,"SK,IRH"
50141,3,"SQQ,VOA"
76072,7,"K,ACI"
76072,8,"TT,ACI"
83547,10,"K,WUX"
83547,11,"SK,YKS"
83838,1,"D,SNN"
83838,4,"DT,FYN"
83838,2,"TT,SNN"
33155,7,"Q,BAM"
62129,7,"QQ,HRA"
83547,7,"K,HVF"
